Question number;Category;Subcategory;Number;Question;Option A;Option B;Option C;Correct answer;poznámky
1004;Znak;vys;6050202;Tato dopravní značka:;Upozorňuje na místo, kde se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran.;Upozorňuje na místo, kde se vozovka oproti předcházejícímu úseku výrazně rozšiřuje, a to z obou stran.;Upozorňuje na místo, kde se snižuje počet jízdních pruhů a kde při souběžné jízdě platí střídavé řazení do jízdního proudu.;a;obrázek
1005;Znak;vys;6050203;Tato dopravní značka:;Upozorňuje na místo, kde je provoz na pozemní komunikaci řízen světelnými signály, které by řidič jinak neočekával, nebo které nejsou s ohledem na místní podmínky viditelné z dostatečné vzdálenosti.;Upozorňuje na železniční přejezd, který je vybaven přejezdovým zabezpečovacím zařízením, které by řidič jinak neočekával.;Upozorňuje na každou křižovatku, na které je provoz řízen světelnými signály.;a;obrázek
1006;Znak;vys;6050204;Tato dopravní značka:;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;a;obrázek
1007;Znak;vys;6050205;Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace:;V jejichž blízkosti se děti často pohybují nebo shromažďují, přecházejí vozovku, nebo kde hrozí zvýšené nebezpečí jejich nenadálého vběhnutí do vozovky.;S předpokladem zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci v místě, kde není zřízen přechod pro chodce, např. v místě pro přecházení.;Kde se nachází zastávka autobusu přepravujícího děti a kde je řidič povinen dbát zvýšené opatrnosti vůči nebezpečí jejich nenadálého vběhnutí do vozovky.;a;obrázek
1008;Znak;vys;6050206;Tato dopravní značka:;Upozorňuje na nebezpečí výskytu kolony stojících nebo pomalu jedoucích vozidel.;Upozorňuje na místo, kde při souběžné jízdě platí střídavé řazení do jízdního proudu průběžného pruhu.;Upozorňuje na bezpečný odstup mezi vozidly jedoucími v koloně.;a;obrázek
1009;Znak;vys;6050207;Tato dopravní značka:;Upozorňuje na úsek se zvýšeným nebezpečím výskytu náledí na vozovce.;Upozorňuje řidiče motorového vozidla o třech a více kolech na povinnost pokračovat v jízdě až po nasazení sněhových (protiskluzových) řetězů na nejméně dvě hnací kola.;Přikazuje řidiči motorového vozidla kategorie M nebo N, aby pokračoval v jízdě jen při splnění podmínek stanovených zákonem pro provoz vozidel v zimním období, a to bez ohledu na datum a aktuální nebo předpokládané povětrnostní podmínky.;a;obrázek
1010;Znak;vys;6050208;Tato dopravní značka:;Upozorňuje řidiče na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Vyznačuje skutečný tvar hlavní pozemní komunikace.;Označuje zejména nebezpečnou zatáčku a usměrňuje provoz ve směru šipky.;a;obrázek
1011;Znak;vys;6050209;Tato dopravní značka:;Upozorňuje na nebezpečí výskytu mlhy nebo kouře.;Upozorňuje na místo, hromadné dopravní nehody.;Upozorňuje na vjezd do tunelu, kde kromě obecných pravidel provozu na pozemních komunikacích platí zvláštní pravidla pro provoz v tunelu.;a;obrázek
1012;Znak;vys;6050210;Tato dopravní značka:;Upozorňuje na místo, kde tramvaj křižuje směr jízdy ostatních vozidel.;Upozorňuje na místo, kde má řidič povinnost dát přednost v jízdě tramvaji, a to zejména mimo křižovatku.;Upozorňuje na místo nebo úsek pozemní komunikace, kde je povolena jízda podél tramvaje vlevo.;a;obrázek
1013;Znak;vys;6050211;Tato dopravní značka:;Upozorňuje na místo, kde cyklisté vjíždějí na vozovku nebo ji přejíždějí, anebo na úsek, kde se cyklisté často vyskytují.;Zakazuje vjezd cyklistům a jízdu na jízdním kole. Vedení jízdního kola cyklistou je povoleno.;Přikazuje cyklistům užít v daném směru takto označeného pruhu nebo stezky.;a;obrázek
1014;Znak;vys;6050212;Tato dopravní značka:;Upozorňuje na místo, kde cyklisté vjíždějí na vozovku nebo ji přejíždějí, anebo na úsek, kde se cyklisté často vyskytují.;Vyznačuje pruh nebo stezku pro cyklisty.;Označuje místo určené pro cyklisty čekající na světelný signál „Volno“.;a;obrázek
1015;Znak;vys;6050213;Tato dopravní značka upozorňuje na:;Práci na pozemní komunikaci nebo v jejím bezprostředním okolí, která by mohla ohrozit bezpečnost provozu na pozemních komunikacích nebo při níž by mohli být provozem ohroženi pracovníci tuto činnost vykonávající.;Místo nebo úsek pozemní komunikace, kde může docházet k časté nakládce a vykládce vozidel správce pozemní komunikace.;Místo nebo úsek pozemní komunikace, kde může docházet k častému pohybu hrajících si dětí.;a;obrázek
1016;Znak;vys;6050214;Tato dopravní značka:;Upozorňuje na místo s nebezpečím náhlého poryvu bočního větru, který může ohrozit bezpečnost provozu na pozemních komunikacích.;Upozorňuje na místo, v jehož blízkosti je umístěn větrný rukáv, z jehož pohybu je patrný směr a síla větru.;Upozorňuje na místo, v jehož blízkosti je letiště, kde v malé výšce nad pozemní komunikací přelétávají letadla.;a;obrázek
1017;Znak;vys;6050215;Tato dopravní značka:;Upozorňuje na úsek pozemní komunikace, kde je na rozdíl od předcházejícího úseku provoz vozidel veden dočasně nebo trvale v obou směrech.;Upozorňuje na úsek pozemní komunikace, kde je provoz veden střídavě v obou směrech.;Upozorňuje na úsek pozemní komunikace, kde je řidič povinen dát přednost v jízdě protijedoucímu vozidlu v případě, kdy se protijedoucí vozidla nemohou bezpečně vyhnout.;a;obrázek
1018;Znak;vys;6050216;Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace, kde:;Může docházet k častému výskytu divoké zvěře na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol volně žijícího živočicha.;Může docházet k častému výskytu domácích zvířat na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol zvířete.;Platí zákaz používání výstražných zvukových znamení z důvodu ochrany divoké zvěře.;a;obrázek
1019;Znak;vys;6050217;Tato dopravní značka:;Upozorňuje na křižovatku, kde na rozdíl od svého předcházejícího průběhu již není pozemní komunikace hlavní a uplatňuje se zde ustanovení o přednosti v jízdě vozidel přijíždějících zprava.;Upozorňuje předem na křižovatku, kde je přednost v jízdě upravena dopravními značkami.;Upozorňuje na jednokolejný železniční přejezd. Je-li řidič povinen před železničním přejezdem zastavit vozidlo, zastaví před touto značkou.;a;obrázek
1020;Znak;vys;6050218;Tato dopravní značka upozorňuje:;Na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;a;obrázek
1021;Znak;vys;6050219;Tato výstražná dopravní značka:;Upozorňuje na místo nebo úsek pozemní komunikace, kde se na vozovce vyskytuje volný štěrk, který by mohl ohrozit bezpečnost účastníků provozu na pozemních komunikacích.;Upozorňuje na místo nebo úsek pozemní komunikace, kde řidič musí dbát zvýšené opatrnosti vůči ostatním účastníkům provozu na pozemních komunikacích vzhledem k častému výskytu vodních kaluží.;Upozorňuje na místo nebo úsek pozemní komunikace, kde se může vlivem sesuvů nebo padání kamenů na pozemní komunikaci vyskytovat kamení nebo zemina.;a;obrázek
1022;Znak;vys;6050221;Tato dopravní značka:;Upozorňuje na jiné nebezpečí než to, které je možno označit příslušnou výstražnou značkou.;Upozorňuje na změnu místní úpravy provozu na pozemních komunikacích, změnu v organizaci dopravy, neobvyklé stavební uspořádání pozemní komunikace, místo s častým výskytem nehod apod.;Železniční přejezd, který není označen jinými dopravními značkami.;a;obrázek
1023;Znak;vys;6050222;Tato dopravní značka:;Upozorňuje na umělou nerovnost na vozovce, jejímž účelem je zejména snížení rychlosti jedoucích vozidel.;Upozorňuje na hrboly, výtluky, díry a jiné nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky, vyžadující zvýšenou opatrnost nebo výrazné snížení rychlosti jízdy.;Upozorňuje na nerovnosti ve vozovce nebo na úsek s nerovným povrchem vozovky způsobeným vyjetými kolejemi.;a;obrázek
1024;Znak;vys;6050223;Tato dopravní značka:;Upozorňuje na místo, kde v malé výšce nad pozemní komunikací přelétávají letadla.;Informuje o jiném cíli než obci nebo její části. Za jiný cíl se ve vyobrazeném případě považuje letiště.;Upozorňuje na úsek pozemní komunikace směřující na nechráněné letiště.;a;obrázek
1025;Znak;vys;6050224;Tato dopravní značka:;Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na nebezpečnou zatáčku, v níž musí řidič výrazně snížit rychlost jízdy, a usměrňuje provoz ve směru šipky.;Upozorňuje na zatáčku (směrový oblouk) vlevo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;a;obrázek
1026;Znak;vys;6050225;Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace, kde:;Může docházet k častému výskytu domácích zvířat na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol zvířete.;Může docházet k častému výskytu divoké zvěře na pozemní komunikaci, přičemž na značce může být použít i jiný určený symbol volně žijícího živočicha.;Platí zákaz hnaní domácích zvířat po pozemní komunikaci.;a;obrázek
1072;Znak;zak;6050241;Tato dopravní značka zakazuje vjezd vozidel, jejichž:;Okamžitá šířka včetně nákladu a zpětných zrcátek je větší než údaj uvedený na značce.;Okamžitá délka včetně nákladu a příslušenství vozidla je větší než údaj uvedený na značce.;Okamžitá výška včetně nákladu je větší než údaj uvedený na značce.;a;obrázek
1073;Znak;zak;6050242;Tato dopravní značka:;Zakazuje vjezd motocyklům.;Umožňuje vjezd motocyklům.;Zakazuje jen vjezd motocyklům s postranním vozíkem.;a;obrázek
1074;Znak;zak;6050252;Tato dopravní značka:;Označuje zastávku autobusu linkové osobní dopravy.;Zakazuje vjezd autobusům.;Zakazuje vjezd všem motorovým vozidlům, s výjimkou autobusů.;b;obrázek
1075;Znak;zak;6050253;Tato dopravní značka:;Označuje zastávku autobusu městské hromadné dopravy.;Zakazuje vjezd autobusů.;Zakazuje vjezd autobusů městské hromadné dopravy.;b;obrázek
1076;Znak;zak;6050255;Tato dopravní značka:;Zakazuje vjezd vozidlům vyznačených druhů.;Povoluje vjezd vozidlům vyznačených druhů. Nevyznačená vozidla mají vjezd zakázán.;Zakazuje vjezd všem motorovým i nemotorovým vozidlům.;a;obrázek
1077;Znak;zak;6050256;Zákaz vjezdu podle vyobrazené dopravní značky platí pro:;Všechna motorová vozidla.;Vozidla vyznačených druhů.;Všechna vozidla.;a;obrázek
1078;Znak;zak;6050257;Tato dopravní značka zakazuje:;Vjezd vozidel, jejichž okamžitá hmotnost přesahuje údaj uvedený na značce.;Vjezd vozidel, jejichž okamžitá hmotnost připadající na nápravu přesahuje údaj uvedený na značce.;Vjezd vozidel, jejichž nejvyšší dovolená hmotnost přesahuje vyznačenou mez.;a;obrázek
1079;Znak;zak;6050258;Tato dopravní značka:;Zakazuje vjezd vozidel, jejichž okamžitá výška včetně nákladu je vyšší než údaj uvedený na značce.;Upozorňuje na výšku nadcházejícího podjezdu s vyznačením hodnoty.;Zakazuje vjezd vozidel, jejichž výška je vyšší než údaj uvedený na značce, a to bez ohledu na náklad.;a;obrázek
886;Znak;inf;6050259;Co znamená tato dopravní značka?;Parkoviště (stání na chodníku kolmé nebo šikmé).;Parkoviště (stání na chodníku podélné).;Parkoviště (částečné stání na chodníku).;b;obrázek
1080;Znak;zak;6050260;Označte správný význam značky:;Zakazuje zastavení tj. uvedení vozidla do klidu, kromě případů vyvolaných okolnostmi v provozu na pozemních komunikacích jako je např. stojící kolona vozidel apod.;Zakazuje stání, tj. uvedení vozidla do klidu na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.;Ukončuje platnost zákazu stání.;a;obrázek
1081;Znak;zak;6050261;Tato dopravní značka:;"Zakazuje jezdci na zvířeti vjet se zvířetem na pozemní komunikaci za značkou; zákaz platí i pro vedení nebo hnaní takového zvířete.";"Přikazuje jezdci na zvířeti užít takto označené pozemní komunikace nebo stezky; příkaz platí i pro i pro vedení nebo hnaní takového zvířete.";"Označuje stezku pro jezdce na zvířeti; ostatním účastníkům provozu na pozemních komunikacích je její užívání zakázáno.";a;obrázek
1082;Znak;zak;6050262;Tato dopravní značka:;Zakazuje chodcům vstoupit na pozemní komunikaci nacházející se v prostoru za značkou.;Upozorňuje na místo nebo úsek pozemní komunikace s možností zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci v místě, kde není zřízen přechod pro chodce.;Přikazuje chodcům užít v daném směru takto označené stezky. Ostatním účastníkům provozu na pozemních komunikacích je její užívání zakázáno.;a;obrázek
1083;Znak;zak;6050263;Tato dopravní značka:;Zakazuje užívání výstražných zvukových znamení.;Ukončuje platnost značky „Zákaz výstražných zvukových znamení“.;Zakazuje užívání všech výstražných znamení.;a;obrázek
1084;Znak;zak;6050264;Tato dopravní značka:;Zakazuje otáčení.;Upozorňuje na úsek, kde se otáčejí vozidla zimní údržby.;Ukončuje platnost zákazu otáčení.;a;obrázek
1085;Znak;zak;6050269;Tato dopravní značka:;Zakazuje odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.;Ukončuje zákaz odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci. ;Zakazuje odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.;a;obrázek
1086;Znak;zak;6050270;Tato dopravní značka:;Ukončuje platnost značky „Zákaz předjíždění pro nákladní automobily“.;Ukončuje platnost všech zákazů, které jsou stanoveny pro jedoucí vozidla.;Zakazuje řidiči nákladního automobilu o nejvyšší povolené hmotnosti převyšující 3500 kg předjíždět motorové vozidlo vlevo.;a;obrázek
1087;Znak;zak;6050271;Tato dopravní značka:;Zakazuje odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.;Zakazuje odbočování vlevo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.;Ukončuje platnost zákazu odbočování vpravo na nejbližší křižovatce, na účelovou komunikaci v místě jejího připojení nebo na místo ležící mimo pozemní komunikaci.;a;obrázek
1088;Znak;zak;6050274;Tato dopravní značka:;Zakazuje zastavení nebo stání, tj. uvedení vozidla do klidu, kromě případů vyvolaných okolnostmi v provozu na pozemních komunikacích jako je např. stojící kolona vozidel apod.;Zakazuje stání, tj. uvedení vozidla do klidu na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.;Ukončuje platnost zákazu zastavení na dobu delší, než je doba nezbytně nutná k neprodlenému nastoupení nebo vystoupení přepravovaných osob nebo k neprodlenému naložení a vyložení nákladu.;b;obrázek
1027;Znak;vys;6050277;Tato dopravní značka:;Upozorňuje na úsek pozemní komunikace, kde místní podmínky činí klesání nebezpečným. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.;Upozorňuje na klesající úsek pozemní komunikace, kde lze při sníženém účinku brzd, zastavit vozidlo pomocnými prostředky, například protisvahem, hrubým štěrkovým povrchem apod. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.;Upozorňuje na úsek pozemní komunikace s prudkým stoupáním. Na značce se uvádí skutečný nejvyšší podélný sklon vozovky.;a;obrázek
1089;Znak;zak;6050280;Tato dopravní značka:;Zakazuje vjezd potahových vozidel.;Zakazuje jezdci na zvířeti vjet se zvířetem na pozemní komunikaci za značkou.;Zakazuje vedení nebo hnaní zvířete na pozemní komunikaci za značkou.;a;obrázek
1090;Znak;zak;6050290;Tato dopravní značka:;Zakazuje vjezd všem vozidlům s výjimkou cyklistů.;Zakazuje vjezd cyklistům a jízdu na jízdním kole. Vedení jízdního kola cyklistou je povoleno.;Přikazuje cyklistům užít v daném směru takto označené stezky.;b;obrázek
1028;Znak;vys;6050295;Tato dopravní značka:;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.;Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.;a;obrázek
608;Res;kri;6050306;Ve vyobrazené situaci jste řidičem vozidla z výhledu. Jak se zachováte?;Dám přednost vozidlu přijíždějícímu zprava.;Projedu křižovatkou jako první.;Musím odbočit vpravo.;b;obrázek
1091;Znak;zak;6050348;Která z vyobrazených dopravních značek zakazuje řidiči jet rychlostí 40 km/h:;a);b);c);c;obrázek
501;Prav;sme;6050351;Řidič předjížděného vozidla:;Nesmí zvyšovat rychlost ani jinak bránit předjíždění.;Může zvyšovat rychlost a bránit i jinak v předjíždění.;Může zvyšovat rychlost, pokud má silnější vozidlo.;a;obrázek
1092;Znak;zak;6050371;Tato značka:;Zakazuje vjezd vozidel nebo jízdních souprav přepravujících sypké materiály, které nemají zakrytý nákladový prostor.;Zakazuje vjezd vozidlům, která přepravují výbušniny, snadno hořlavý nebo jinak nebezpečný náklad.;Zakazuje vjezd vozidlům přepravujícím ropu nebo ropné materiály nebo jiné látky, které by mohly způsobit ohrožení životního prostředí, zejména znečištění vody.;b;obrázek
